run_id,case_name,t0_s,dt_s,t_final_s,init_altitude_m,init_speed_mps,init_fpa_deg,sigma_const_deg,mass_kg,ref_area_m2,CL_const,CD_const
1,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
2,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
3,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
4,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
5,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
6,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
7,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
8,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
9,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
10,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
11,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
12,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
13,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
14,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
15,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
16,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
17,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
18,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
19,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
20,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
21,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
22,LEO_entry_test_01,0.0,0.25,2000.0,71230.09843810128,7351.459829911264,-7.25946028517222,69.39194543256016,5000.0,10.0,0.3,1.0
23,LEO_entry_test_01,0.0,0.25,2000.0,60414.96225563448,7280.657102540194,-1.408577609851699,18.532229737033994,5000.0,10.0,0.3,1.0
24,LEO_entry_test_01,0.0,0.25,2000.0,62415.67626575634,7587.179368621026,-2.380258251573368,47.996196541322874,5000.0,10.0,0.3,1.0
25,LEO_entry_test_01,0.0,0.25,2000.0,83099.03585361938,7352.480854563576,-1.2765798157545216,49.98113653437529,5000.0,10.0,0.3,1.0
26,LEO_entry_test_01,0.0,0.25,2000.0,71881.627570367,7210.006391776101,-5.01048135960674,14.06967392535835,5000.0,10.0,0.3,1.0
27,LEO_entry_test_01,0.0,0.25,2000.0,63249.47634606385,7225.732318909686,-3.7220142604894892,33.23506147786444,5000.0,10.0,0.3,1.0
28,LEO_entry_test_01,0.0,0.25,2000.0,60717.883912355916,7413.11967743812,-4.543636189108941,23.360819797255036,5000.0,10.0,0.3,1.0
29,LEO_entry_test_01,0.0,0.25,2000.0,66338.5902271336,7443.135865525848,-4.1702165595719265,25.079750068643847,5000.0,10.0,0.3,1.0
30,LEO_entry_test_01,0.0,0.25,2000.0,83120.76404606184,7715.722225928319,-6.847342194299536,1.8807161017664642,5000.0,10.0,0.3,1.0
31,LEO_entry_test_01,0.0,0.25,2000.0,52291.23688761573,7722.356631608431,-2.306582332277073,25.052894990324198,5000.0,10.0,0.3,1.0
32,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
33,LEO_entry_test_01,0.0,0.25,2000.0,50442.49392325083,7650.228501802198,-2.8488371908875703,41.0239322557415,5000.0,10.0,0.3,1.0
34,LEO_entry_test_01,0.0,0.25,2000.0,82446.65303710419,7601.873162713786,-7.091692962686251,20.4428300962667,5000.0,10.0,0.3,1.0
35,LEO_entry_test_01,0.0,0.25,2000.0,75269.15175752902,7615.854072084274,-2.1441355618025533,14.564114392542372,5000.0,10.0,0.3,1.0
36,LEO_entry_test_01,0.0,0.25,2000.0,75897.81407707896,7457.820588323231,-2.243134363523329,19.324606045127688,5000.0,10.0,0.3,1.0
37,LEO_entry_test_01,0.0,0.25,2000.0,79393.73886721091,7486.0414797294825,-7.546047433965201,14.654199625567346,5000.0,10.0,0.3,1.0
38,LEO_entry_test_01,0.0,0.25,2000.0,63069.8483072936,7368.597073692226,-6.150520244648682,45.3960170764119,5000.0,10.0,0.3,1.0
39,LEO_entry_test_01,0.0,0.25,2000.0,73464.50306722595,7350.308631386106,-5.824584116424898,19.952749855228056,5000.0,10.0,0.3,1.0
40,LEO_entry_test_01,0.0,0.25,2000.0,53581.49738190202,7269.455499068873,-5.787221076986031,49.7638301677577,5000.0,10.0,0.3,1.0
41,LEO_entry_test_01,0.0,0.25,2000.0,53162.43591646115,7202.330544738439,-9.669135486690791,42.415842689394744,5000.0,10.0,0.3,1.0
42,LEO_entry_test_01,0.0,0.25,2000.0,57883.195680282966,7567.846491297949,-3.8908223376005884,56.36400784337638,5000.0,10.0,0.3,1.0
43,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
44,LEO_entry_test_01,0.0,0.25,2000.0,60619.76915107716,7323.1940459887965,-7.529035348669051,53.53782720516484,5000.0,10.0,0.3,1.0
45,LEO_entry_test_01,0.0,0.25,2000.0,59821.1513711016,7612.8764528496495,-8.1585408632051,56.326018497209475,5000.0,10.0,0.3,1.0
46,LEO_entry_test_01,0.0,0.25,2000.0,74270.55674401952,7775.074364996379,-1.8298887123463334,6.830369132387158,5000.0,10.0,0.3,1.0
47,LEO_entry_test_01,0.0,0.25,2000.0,69320.72041664759,7382.020452936823,-3.8729910640320284,48.44872536494891,5000.0,10.0,0.3,1.0
48,LEO_entry_test_01,0.0,0.25,2000.0,78496.48056304564,7501.0459962993355,-3.8692344289881992,42.22654467590729,5000.0,10.0,0.3,1.0
49,LEO_entry_test_01,0.0,0.25,2000.0,77847.9712314205,7423.426896375649,-3.956868350918745,35.131268542939644,5000.0,10.0,0.3,1.0
50,LEO_entry_test_01,0.0,0.25,2000.0,61965.38112885256,7304.112849135223,-5.721820414022009,65.8720263177096,5000.0,10.0,0.3,1.0
51,LEO_entry_test_01,0.0,0.25,2000.0,50326.5845437983,7493.2200190055655,-2.2500461953690793,40.55983122845421,5000.0,10.0,0.3,1.0
52,LEO_entry_test_01,0.0,0.25,2000.0,74177.32522319099,7398.279244915507,-6.038392532298516,39.42547231628558,5000.0,10.0,0.3,1.0
53,LEO_entry_test_01,0.0,0.25,2000.0,71392.20062730028,7722.072323572488,-9.8772725297857,1.6222168270709958,5000.0,10.0,0.3,1.0
54,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
55,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
56,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
57,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
58,LEO_entry_test_01,0.0,0.25,2000.0,71195.97623620497,7475.116832545442,-4.341442406366428,62.19337410356397,5000.0,10.0,0.3,1.0
59,LEO_entry_test_01,0.0,0.25,2000.0,54917.9892201355,7485.114702185819,-8.692732000073734,5.282082620910891,5000.0,10.0,0.3,1.0
60,LEO_entry_test_01,0.0,0.25,2000.0,80573.2583362281,7780.144343762211,-4.432546412105469,68.99851784775859,5000.0,10.0,0.3,1.0
61,LEO_entry_test_01,0.0,0.25,2000.0,77827.65093536857,7240.6531670359245,-1.425475982461947,9.323272125741816,5000.0,10.0,0.3,1.0
62,LEO_entry_test_01,0.0,0.25,2000.0,71429.85954853272,7259.15529619061,-5.020191559370185,41.58883159010872,5000.0,10.0,0.3,1.0
63,LEO_entry_test_01,0.0,0.25,2000.0,51390.13063646356,7340.600711431582,-7.61599725592669,30.771601324235043,5000.0,10.0,0.3,1.0
64,LEO_entry_test_01,0.0,0.25,2000.0,63328.69359521394,7627.149822272503,-1.87120114316029,47.88802480550546,5000.0,10.0,0.3,1.0
65,LEO_entry_test_01,0.0,0.25,2000.0,72327.33455087799,7466.449749438998,-8.260783382605057,66.43084438607978,5000.0,10.0,0.3,1.0
66,LEO_entry_test_01,0.0,0.25,2000.0,64187.232796740296,7358.729936855404,-5.403144892895855,62.64985946943644,5000.0,10.0,0.3,1.0
67,LEO_entry_test_01,0.0,0.25,2000.0,79782.06056802746,7421.034521543625,-2.1549476512640355,42.73929115306951,5000.0,10.0,0.3,1.0
68,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
69,LEO_entry_test_01,0.0,0.25,2000.0,74237.88378837338,7749.011082650276,-3.4863328858744937,7.859920635853124,5000.0,10.0,0.3,1.0
70,LEO_entry_test_01,0.0,0.25,2000.0,63792.24187220688,7693.032167024103,-4.1616084668964275,36.603685651181834,5000.0,10.0,0.3,1.0
71,LEO_entry_test_01,0.0,0.25,2000.0,69009.74113546626,7736.42662366792,-4.186227022105655,63.11478989814556,5000.0,10.0,0.3,1.0
72,LEO_entry_test_01,0.0,0.25,2000.0,81486.4640425428,7394.310245697681,-1.6911397372389416,0.027908263963825064,5000.0,10.0,0.3,1.0
73,LEO_entry_test_01,0.0,0.25,2000.0,84602.31817272563,7782.89684143419,-8.039650728158795,0.34993512881125177,5000.0,10.0,0.3,1.0
74,LEO_entry_test_01,0.0,0.25,2000.0,67550.36052054237,7602.353631315912,-8.297967917671654,20.449601333653142,5000.0,10.0,0.3,1.0
75,LEO_entry_test_01,0.0,0.25,2000.0,79281.88113382945,7747.902999632582,-7.653134941266481,41.185299645266035,5000.0,10.0,0.3,1.0
76,LEO_entry_test_01,0.0,0.25,2000.0,83430.7723670452,7221.305875172001,-2.6868034767868787,66.1402775403123,5000.0,10.0,0.3,1.0
77,LEO_entry_test_01,0.0,0.25,2000.0,59478.26473949101,7686.174363198007,-5.747038766218953,43.68025372455164,5000.0,10.0,0.3,1.0
78,LEO_entry_test_01,0.0,0.25,2000.0,72383.53063359574,7506.8617185842,-9.77808890908925,67.36009154654413,5000.0,10.0,0.3,1.0
79,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
80,LEO_entry_test_01,0.0,0.25,2000.0,84247.4714139695,7790.1720706423275,-2.491607432864205,57.04115979612639,5000.0,10.0,0.3,1.0
81,LEO_entry_test_01,0.0,0.25,2000.0,63753.45648457471,7396.366712848269,-8.856088477199894,2.2277152904488506,5000.0,10.0,0.3,1.0
82,LEO_entry_test_01,0.0,0.25,2000.0,65775.72266570936,7235.362885139598,-1.231472026817503,46.710375510245214,5000.0,10.0,0.3,1.0
83,LEO_entry_test_01,0.0,0.25,2000.0,66644.27698656937,7479.274738883625,-2.334887454222084,53.5044514682191,5000.0,10.0,0.3,1.0
84,LEO_entry_test_01,0.0,0.25,2000.0,77256.07842178702,7428.915849176834,-8.646959803212415,24.08156328200116,5000.0,10.0,0.3,1.0
85,LEO_entry_test_01,0.0,0.25,2000.0,70178.46382239758,7721.457523020699,-3.978598768493762,58.02976692193235,5000.0,10.0,0.3,1.0
86,LEO_entry_test_01,0.0,0.25,2000.0,72360.91851899948,7226.926148122115,-5.71095958895958,11.301249041827031,5000.0,10.0,0.3,1.0
87,LEO_entry_test_01,0.0,0.25,2000.0,50488.63829770583,7567.848050857193,-8.584131575470044,66.38744426956863,5000.0,10.0,0.3,1.0
88,LEO_entry_test_01,0.0,0.25,2000.0,67729.49491200031,7726.160820103848,-9.382529409433172,67.87724760545206,5000.0,10.0,0.3,1.0
89,LEO_entry_test_01,0.0,0.25,2000.0,62162.19354317895,7644.309238399309,-3.737383074530338,49.32973072768589,5000.0,10.0,0.3,1.0
90,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
91,LEO_entry_test_01,0.0,0.25,2000.0,56630.03438942359,7719.390806858512,-6.6677733093730485,26.069434534880273,5000.0,10.0,0.3,1.0
92,LEO_entry_test_01,0.0,0.25,2000.0,59358.847994068565,7578.521765174202,-6.8907334780282286,65.34932527268768,5000.0,10.0,0.3,1.0
93,LEO_entry_test_01,0.0,0.25,2000.0,80059.2162578157,7267.384273682525,-6.2579854088643,19.38615637695072,5000.0,10.0,0.3,1.0
94,LEO_entry_test_01,0.0,0.25,2000.0,71684.01653931709,7500.559215400037,-6.533255932072218,43.5763384682038,5000.0,10.0,0.3,1.0
95,LEO_entry_test_01,0.0,0.25,2000.0,65560.98078826736,7640.400103340846,-6.492208546129438,28.048287979328695,5000.0,10.0,0.3,1.0
96,LEO_entry_test_01,0.0,0.25,2000.0,67673.44795999982,7552.771339957624,-8.03504899185118,64.66075176485413,5000.0,10.0,0.3,1.0
97,LEO_entry_test_01,0.0,0.25,2000.0,81250.39096131687,7342.197378709988,-4.071854638167624,62.8740214490083,5000.0,10.0,0.3,1.0
98,LEO_entry_test_01,0.0,0.25,2000.0,58295.83641619999,7653.385434755624,-3.223048314217851,30.6130390959024,5000.0,10.0,0.3,1.0
99,LEO_entry_test_01,0.0,0.25,2000.0,51087.933271373004,7352.899168185308,-4.775057044524916,35.7901853719822,5000.0,10.0,0.3,1.0
100,LEO_entry_test_01,0.0,0.25,2000.0,52121.105102665824,7525.369864678462,-9.160188566778364,48.09975786538119,5000.0,10.0,0.3,1.0
101,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
102,LEO_entry_test_01,0.0,0.25,2000.0,59050.852213010534,7540.645092600166,-2.564603562472085,21.680895347903935,5000.0,10.0,0.3,1.0
103,LEO_entry_test_01,0.0,0.25,2000.0,78914.58570589541,7504.918072801117,-1.003496455839727,15.185864174988573,5000.0,10.0,0.3,1.0
104,LEO_entry_test_01,0.0,0.25,2000.0,75113.44600137536,7526.001818549546,-6.329783192639001,29.0692415894749,5000.0,10.0,0.3,1.0
105,LEO_entry_test_01,0.0,0.25,2000.0,60328.87659855377,7226.454871620947,-8.200218016638962,16.786747021090722,5000.0,10.0,0.3,1.0
106,LEO_entry_test_01,0.0,0.25,2000.0,74865.15271783932,7330.135470964597,-2.2465642223794964,38.36976862964118,5000.0,10.0,0.3,1.0
107,LEO_entry_test_01,0.0,0.25,2000.0,52197.84495278538,7640.68532109339,-6.038218379730628,19.550139023684924,5000.0,10.0,0.3,1.0
108,LEO_entry_test_01,0.0,0.25,2000.0,54122.61039999311,7657.33695016618,-3.2204382530472486,42.317837015451325,5000.0,10.0,0.3,1.0
109,LEO_entry_test_01,0.0,0.25,2000.0,53813.169443590385,7495.480604260374,-8.48849870387621,42.503084118377785,5000.0,10.0,0.3,1.0
110,LEO_entry_test_01,0.0,0.25,2000.0,75526.12345729745,7465.377325049575,-7.295169896960655,40.467324436940615,5000.0,10.0,0.3,1.0
111,LEO_entry_test_01,0.0,0.25,2000.0,76104.10617938907,7436.590111456082,-3.5263075698567903,30.611013059419914,5000.0,10.0,0.3,1.0
112,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
